"ID","sector_empresa","genero","experiencia_empresa","estudios","valoracion_empresa_2018","valoracion_empresa_2019","valoracion_empresa_2020","Abandonar empresa","problema_trabajo","problema_relaciones","horas_extra_2018","horas_extra_2020","compentencia","autoestima","autoeficacia","ansiedad","satisfaccion","optimismo","estres","expectativas_2018","expectativas_2020"
"117",1,2,3,2,2.0,2.0,3.0,1,2,2,2,2,6.0,4.0,8.0,6.0,8.0,3.0,3,5.0,3.0
"118",1,1,2,2,1.0,2.0,2.0,2,1,1,2,1,4.0,5.0,9.0,4.0,9.0,4.0,1,6.0,6.0
"119",1,2,4,1,2.0,1.0,1.0,3,1,1,1,1,5.0,4.0,8.0,4.0,8.0,4.0,1,7.0,7.0
"120",1,2,2,2,2.0,2.0,2.0,2,1,2,1,1,4.0,3.0,8.0,5.0,7.0,3.0,3,4.0,4.0
"121",1,2,3,1,1.0,4.0,3.0,2,1,1,2,2,6.0,4.0,7.0,6.0,7.0,4.0,3,4.0,4.0
"122",1,1,3,1,2.0,3.0,1.0,3,1,1,1,1,4.0,3.0,7.0,4.0,7.0,4.0,2,6.0,6.0
"123",1,2,3,1,2.0,2.0,2.0,2,2,2,1,1,6.0,4.0,7.0,5.0,8.0,4.0,2,6.0,6.0
"124",1,2,1,1,1.0,3.0,1.0,3,1,2,1,1,5.0,4.0,8.0,5.0,8.0,4.0,2,6.0,6.0
"125",1,1,2,3,2.0,1.0,1.0,4,1,1,1,1,6.0,4.0,9.0,4.0,9.0,4.0,2,6.0,7.0
"126",1,1,2,2,3.0,2.0,1.0,3,2,2,2,2,4.0,4.0,7.0,7.0,7.0,5.0,1,5.0,5.0
"127",1,2,2,2,2.0,2.0,1.0,3,1,1,1,1,5.0,5.0,8.0,4.0,8.0,4.0,1,5.0,5.0
"128",1,1,2,1,2.0,1.0,2.0,2,1,2,1,1,5.0,3.0,7.0,5.0,7.0,5.0,2,6.0,5.0
"129",1,1,2,1,2.0,1.0,2.0,3,1,1,1,1,5.0,4.0,9.0,4.0,8.0,4.0,1,6.0,6.0
"130",1,1,2,2,2.0,1.0,2.0,3,1,1,1,1,5.0,4.0,10.0,4.0,9.0,3.0,2,5.0,5.0
"131",1,2,1,1,2.0,3.0,2.0,3,2,1,1,1,5.0,4.0,8.0,5.0,9.0,4.0,2,6.0,6.0
"132",1,2,3,1,2.0,3.0,2.0,3,2,1,1,1,5.0,2.0,8.0,5.0,8.0,4.0,2,5.0,5.0
"133",1,2,1,1,2.0,2.0,2.0,2,1,2,1,1,5.0,5.0,8.0,4.0,8.0,4.0,1,4.0,5.0
"134",1,2,3,1,3.0,1.0,1.0,4,2,1,2,2,6.0,5.0,9.0,7.0,9.0,5.0,2,7.0,7.0
"135",1,1,2,1,1.0,1.0,1.0,3,1,1,2,2,2.0,4.0,9.0,3.0,8.0,4.0,1,7.0,7.0
"136",1,1,2,3,4.0,2.0,2.0,2,2,1,1,2,3.0,4.0,5.0,7.0,5.0,3.0,3,3.0,3.0
"137",1,1,3,1,2.0,3.0,2.0,2,1,1,1,1,6.0,2.0,5.0,6.0,9.0,4.0,3,2.0,3.0
